"site_No.","date","avg_temp","low_temp","low_temp_hhmm","high_temp","high_temp_hhmm","precipitation","max_wind_speed","avg_wind_speed","degree_of_max_wind_speed","site","PM","Na_ion","NH4_ion","K_ion","Mg_ion","Ca_ion","F_ion","Cl_ion","NO2_ion","Br_ion","NO3_ion","SO4_ion","Pb","Cd","Cr","Cu","Mn","Fe","Ni","As","Be","Al","Ca_M","Mg_M","OC","EC","TC","ion_sum","metal_sum"
119,2015-06-08,22.1,17.8,448,26.9,1705,NA,6.4,1.5,290,"Uiwang",43,0.352,3.288,0.201,0.095,0.483,0,0.027,0,0.056,1.19,10.524,0.0154,8e-04,0.0028,0.012,0.0201,0.6068,0.0031,0.0016,0,0.6579,0.6509,0.2131,4.64,1.06,5.7,16.216,2.1845
119,2015-06-09,21.1,17.3,2352,27.8,1338,NA,7.8,2.2,250,"Uiwang",56.4,0.386,5.161,0.231,0.095,0.44,0,0.044,0,0.103,2.003,16.1,0.0293,0.0012,0.0045,0.0205,0.03,0.8737,0.0044,0.0023,0,0.8894,0.7567,0.2475,4.25,0.86,5.11,24.563,2.8595
119,2015-06-10,24.1,15.9,453,33.6,1546,NA,7.7,1.6,270,"Uiwang",57.2,0.179,3.952,0.275,0.105,0.605,0,0.04,0,0.063,1.54,12.356,0.0221,6e-04,0.0054,0.0177,0.0272,0.8043,0.005,0.0022,0,0.8262,0.8915,0.2933,5.6,0.85,6.46,19.115,2.8955
119,2015-06-11,23.8,18.8,451,28.5,1152,0.2,10.7,2.2,140,"Uiwang",53.9,0.101,2.54,0.197,0.076,0.481,0,0.028,0,0.051,1.116,7.474,0.0156,8e-04,0.0033,0.0158,0.0202,0.6501,0.003,0.0017,0,0.7513,0.6034,0.1905,4.92,0.75,5.67,12.064,2.2557
119,2015-06-12,23.8,18.6,538,29.7,1539,0.3,8.9,2.4,250,"Uiwang",50.4,0.149,4.208,0.286,0.093,0.654,0,0.029,0,0.064,0.591,13.965,0.0132,8e-04,0.0032,0.0171,0.0163,0.5282,0.0023,0,0,0.5797,0.4304,0.149,4.72,0.8,5.52,20.039,1.7402
119,2015-07-06,24.2,18.6,418,31.8,1433,NA,6.8,1.6,270,"Uiwang",31.3,0.155,1.953,0.165,0.107,0.351,0,0.038,0,0.045,0.886,5.706,0.0125,6e-04,3e-04,0.0085,0.0122,0.3822,1e-04,0.0026,0,0.3457,0.2944,0.0908,5.2,0.92,6.12,9.406,1.1499
119,2015-07-07,24.1,20.2,327,28.2,1758,NA,8.1,2.1,110,"Uiwang",35.6,0.17,2.058,0.154,0.076,0.345,0,0.041,0,0.047,0.77,5.839,0.0142,8e-04,0.0013,0.0115,0.0153,0.4336,5e-04,0.0018,0,0.3702,0.3921,0.0982,5.16,0.92,6.08,9.5,1.3395
119,2015-07-08,22.6,19.7,302,25.8,1617,1.1,9.8,3.4,110,"Uiwang",13,0.038,0.278,0.064,0.026,0.085,0,0.041,0,0.042,0.261,0.768,0.0031,2e-04,0,0.0011,0.0039,0.1139,0,4e-04,0,0.0912,0.1309,0.0267,1.6,0.47,2.07,1.603,0.3714
119,2015-07-09,25.6,22.6,448,30.1,1323,NA,9.3,3.2,110,"Uiwang",14.1,0.019,0.138,0.05,0.029,0.126,0,0.032,0,0.025,0.291,0.479,0.004,3e-04,0,0.003,0.0044,0.1475,0,8e-04,0,0.1248,0.1553,0.0358,1.65,0.53,2.17,1.189,0.4759
119,2015-07-10,28,23.4,502,33.5,1734,NA,5.6,1.7,200,"Uiwang",23.8,0.06,0.684,0.099,0.054,0.263,0,0.028,0,0.033,0.678,1.782,0.0054,0.0011,4e-04,0.0084,0.0087,0.2843,0,0.0023,0,0.2355,0.2332,0.0574,5.44,1.44,6.88,3.681,0.8367
119,2015-08-11,26.2,22.6,554,30.3,1417,NA,6.4,1.4,200,"Uiwang",30.1,0.341,2.623,0.158,0.066,0.405,0,0.074,0,0.101,0.72,8.781,0.0233,7e-04,0.0027,0.0113,0.0124,0.3236,0.002,0.0057,0,0.2586,0.3145,0.0919,5.9,1.34,7.24,13.269,1.0467
119,2015-08-12,27.4,22.3,508,33.4,1453,NA,6.6,1.7,270,"Uiwang",52.8,0.221,6.655,0.285,0.065,0.403,0,0.093,0,0.129,3.066,19.331,0.0412,0.0011,0.0038,0.0211,0.0207,0.5872,0.0035,0.0059,0,0.303,0.4116,0.1047,7.88,1.13,9.01,30.248,1.5038
119,2015-08-13,26.3,23.6,326,32.1,1405,1.3,7.3,1.7,250,"Uiwang",52.8,0.138,5.539,0.238,0.069,0.366,0,0.09,0,0.122,1.317,16.787,0.0336,0.002,0.0037,0.0206,0.0238,0.5869,0.0044,0.0045,0,0.388,0.3378,0.1254,7.65,0.93,8.58,24.666,1.5307
119,2015-08-14,26.6,23.3,443,32.4,1342,NA,7.1,1.6,250,"Uiwang",37.2,0.125,4.462,0.246,0.1,0.44,0,0.089,0,0.114,1.106,13.751,0.0291,0.0014,0.0036,0.0186,0.0164,0.4485,0.004,0.0106,0,0.3321,0.3443,0.1022,7.59,1.16,8.76,20.433,1.3108
119,2015-08-15,27.1,22.9,541,32.5,1504,NA,6.1,1.5,270,"Uiwang",33.9,0.13,3.429,0.207,0.103,0.41,0,0.08,0,0.105,0.955,10.464,0.0247,0.0016,0.0041,0.0148,0.0164,0.4863,0.0041,0.0042,0,0.3249,0.3747,0.1235,5.84,0.96,6.8,15.883,1.3793
119,2015-09-07,22.8,16.3,451,28.6,1555,NA,6.7,1.7,110,"Uiwang",13.6,0.159,0.143,0.082,0.03,0.178,0,0.068,0,0.073,0.458,0.844,0.00562,0.00034,0.00571,0.01582,0.01127,0.38307,0.00185,0.00098,0,0.15935,0.26593,0.07382,3.44,1.31,4.75,2.035,0.92376
119,2015-09-08,22.5,15.6,624,28.6,1654,NA,7.2,2.2,70,"Uiwang",15.7,0.328,2.626,0.233,0.126,0.562,0,0.069,0,0.089,3.082,7.218,0.01004,0.0012,0.00311,0.01541,0.01325,0.38188,0.00252,0.00076,0,0.20339,0.32445,0.06371,4.89,0.73,5.62,14.333,1.01972
119,2015-09-09,22.4,14.2,540,29.3,1518,NA,7.7,2.5,70,"Uiwang",16.3,0.337,0.227,0.083,0.042,0.19,0,0.066,0,0.073,0.934,1,0.0073,0.00111,0.00051,0.01183,0.00743,0.24612,0.00188,0.00066,0,0.18371,0.23694,0.09849,3.1,0.81,3.9,2.952,0.79598
119,2015-09-10,22.4,17.1,508,28,1503,NA,7.3,1.7,270,"Uiwang",23.8,0.82,0.27,0.142,0.145,0.353,0,0.067,0,0.075,1.724,2.159,0.01918,0.001,0.00239,0.01933,0.01304,0.41485,0.00194,0.00331,0,0.25592,0.35802,0.19077,4.81,1.71,6.52,5.755,1.27975
119,2015-09-11,21,16.9,2125,25.7,1042,4.7,5.7,1.6,270,"Uiwang",31.5,0.332,2.598,0.264,0.121,0.444,0,0.066,0,0.093,2.011,7.921,0.03064,0.00099,0.00328,0.01932,0.0192,0.62255,0.00293,0.00514,0,0.32682,0.39345,0.17112,5.4,1.29,6.69,13.85,1.59544
